"Target","PoS","IDs","sent1","sent2","synonym_sent1","synset_synonym_sent1","synonym_sent2","synset_synonym_sent2"
"treatment","N","1-1","His treatment of the race question is badly biased .","A treatment or cure is applied after a medical problem has already started .","discussion","00027523n","intervention","00047235n"
"side","N","6-2","They always sat on the right side of the church .","The Confederate side was prepared to attack .","part","00071431n","faction","00071432n"
"air","N","5-6","The program was on the air from 9 til midnight .","There was a tension in the air which made me suspect an approaching storm .","airwave","00002192n","Atmosphere","00002187n"
"complexion","N","2-3","A sunburnt complexion .","A liberal political complexion .","skin","00021378n","inclination","00021380n"
"end","N","5-1","He came to a bad end .","The end of town .","ending","00030719n","edge","00030725n"
"order","N","1-5","The order of Saint Benedict .","An explosion of a low order of magnitude .","guild","00020039n","level","00059304n"
"conflict","N","1-4","The conflict between the government and the rebels began three years ago .","He was immobilized by conflict and indecision .","clash","00009080n","struggle","00021765n"
"sense","N","1-3","A sense of happiness .","In the best sense charity is really a duty .","feeling","00070497n","interpretation","00070498n"
"feeling","N","4-5","He had a great feeling for music .","The house gave me a feeling of dread .","intuition","00033966n","impression","00009717n"
"break","N","1-5","The break in the eighth frame cost him the match .","They hoped to avoid a break in relations .","open frame","00012909n","interruption","00012896n"
"side","N","5-7","It brought out his better side .","The patient was bleeding on the right side .","part","00071431n","half","00071433n"
"head","N","1-1","The head of the compass needle is pointing due north .","200 head of cattle .","tip","00077365n","animals","00043252n"
"camp","N","10-5","City kids get to see the country at a summer camp .","The living room was pure camp .","campground","00015037n","unoriginal","00015040n"
"score","N","11-2","He tried to blame the victim but his success on that score was doubtful .","Settling a score .","account","00000742n","mark","00041241n"
"thing","N","6-4","I could n't tell what the thing was .","To say the same thing in other terms .","matter","00076924n","statement","00076923n"
"product","N","3-3","This is a product of lime and nitric acid .","Skill is the product of hours of practice .","substance","00064585n","result","00064586n"
"set","N","7-1","His instructions deliberately gave them the wrong set .","A set of tools .","readiness","00066371n","array","00070696n"
"object","N","2-1","The sole object of her trip was to see her children .","The object of the verb .","goal","00002179n","complement","00058443n"
"tramp","N","2-1","A homeless tramp .","The tramp of military boots .","vagrant","00013852n","footfall","00077938n"
"bed","N","6-1","Slices of hard-boiled egg on a bed of spinach .","River bed .","layer","00009477n","bottom","00009474n"
"interest","N","2-4","In the interest of safety .","Victorian furniture is an interest of mine .","sake","00047078n","pastime","00047083n"
"touch","N","5-3","This piano has a wonderful touch .","She likes the touch of silk on her skin .","feel","00077730n","sensation","00033965n"
"impression","N","4-4","He did a funny impression of a politician .","The dentist took an impression for use in preparing an inlay .","portrayal","00046173n","imprint","00046172n"
